rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
918,637,38,56,56,0.007019969169050455,0.1954345852136612,0.869384765625,0.009604426100850105,0.1988220363855362,0.8753662109375,"{""0"": 56}"
919,902,40,56,56,0.1961365044116974,0.005614775232970715,0.28662109375,0.2036743462085724,0.008933084085583687,0.2953643798828125,"{""0"": 56}"
920,1107,34,55,55,0.32720947265625,0.04502109810709953,0.42957305908203125,0.330078125,0.04746631905436516,0.4317054748535156,"{""0"": 55}"
921,54,38,53,53,-0.313568115234375,-0.13961796462535858,0.647552490234375,-0.307952880859375,-0.13682560622692108,0.651641845703125,"{""0"": 53}"
922,638,38,50,50,0.006245108786970377,0.1954345852136612,0.869384765625,0.009604426100850105,0.1992950588464737,0.87591552734375,"{""0"": 50}"
923,673,37,50,50,0.03435517102479935,0.1463470309972763,0.238861083984375,0.04048538953065872,0.1504669040441513,0.246246337890625,"{""0"": 50}"
924,6,34,49,49,-0.37139892578125,0.18872065842151642,0.46341702342033386,-0.366973876953125,0.19299311935901642,0.4666156470775604,"{""0"": 49}"
925,7,34,49,49,-0.371185302734375,0.18876643478870392,0.46253201365470886,-0.36663818359375,0.19299311935901642,0.46645161509513855,"{""0"": 49}"
926,520,39,49,49,-0.06970972567796707,-0.334442138671875,0.5904998779296875,-0.06620020419359207,-0.325592041015625,0.6132125854492188,"{""0"": 49}"
927,736,33,49,49,0.09805303066968918,-0.287628173828125,0.5178565979003906,0.10346227139234543,-0.285797119140625,0.522247314453125,"{""0"": 49}"
928,859,32,47,47,0.17272953689098358,-0.2075957953929901,0.3190155327320099,0.17816166579723358,-0.2033996284008026,0.3232879936695099,"{""0"": 47}"
929,883,33,45,45,0.18429569900035858,-0.2310943305492401,0.46265795826911926,0.18722538650035858,-0.2253875434398651,0.4774980843067169,"{""0"": 45}"
930,968,31,45,45,0.22499088943004608,-0.2268066108226776,0.5855331420898438,0.22933964431285858,-0.2241210639476776,0.5891952514648438,"{""0"": 45}"
931,390,30,44,44,-0.1632384955883026,-0.211761474609375,0.773101806640625,-0.1598357856273651,-0.2100830078125,0.77777099609375,"{""0"": 44}"
932,42,30,43,43,-0.3206787109375,-0.03075031377375126,0.5197658538818359,-0.316741943359375,-0.027032893151044846,0.5217056274414062,"{""0"": 43}"
933,178,29,43,43,-0.250885009765625,0.3167419135570526,0.47415921092033386,-0.2468719780445099,0.3199157416820526,0.4775104224681854,"{""0"": 43}"
934,1103,31,43,43,0.32415771484375,0.028291743248701096,0.4312782287597656,0.32562255859375,0.031002085655927658,0.4406394958496094,"{""0"": 43}"
935,747,33,42,42,0.1067810133099556,0.14227294921875,0.2507781982421875,0.1122741773724556,0.1452178955078125,0.2584381103515625,"{""0"": 42}"
936,19,29,41,41,-0.3411865234375,-0.007278486620634794,0.49454402923583984,-0.337646484375,-0.004106566309928894,0.49714183807373047,"{""0"": 41}"
937,55,31,41,41,-0.313934326171875,-0.13961796462535858,0.6476898193359375,-0.30804443359375,-0.13682560622692108,0.651641845703125,"{""0"": 41}"
938,948,26,41,41,0.2145385891199112,0.05755235627293587,0.2342529296875,0.2174530178308487,0.06028749421238899,0.23663330078125,"{""0"": 41}"
939,1035,28,40,40,0.273712158203125,-0.1297454535961151,0.613006591796875,0.277679443359375,-0.1268157660961151,0.6168975830078125,"{""0"": 40}"
940,134,29,39,39,-0.275177001953125,0.1801757663488388,0.777801513671875,-0.27178955078125,0.1830749362707138,0.780731201171875,"{""0"": 39}"
941,354,28,38,38,-0.1866302639245987,0.2570800483226776,0.2990569770336151,-0.1833801418542862,0.2606506049633026,0.3028106391429901,"{""0"": 38}"
942,534,30,38,38,-0.06037897244095802,-0.347015380859375,0.5844573974609375,-0.05790704861283302,-0.342742919921875,0.6006393432617188,"{""0"": 38}"
943,861,27,38,38,0.1723632961511612,0.04379655048251152,0.2042236328125,0.1746215969324112,0.04712296649813652,0.207733154296875,"{""0"": 38}"
944,1060,31,38,38,0.285919189453125,0.021835366263985634,0.4840250015258789,0.2972412109375,0.022705115377902985,0.49895763397216797,"{""0"": 38}"
945,79,28,37,37,-0.304229736328125,-0.027502097189426422,0.5280876159667969,-0.300567626953125,-0.02233508974313736,0.5336418151855469,"{""0"": 37}"
946,252,28,37,37,-0.2246856987476349,0.3265990912914276,0.3727264106273651,-0.2215118706226349,0.3347778022289276,0.3753966987133026,"{""0"": 37}"
947,779,25,37,37,0.1351623237133026,0.3359985649585724,0.5784530639648438,0.1377563178539276,0.3387146294116974,0.5819549560546875,"{""0"": 37}"
948,39,26,36,36,-0.3206787109375,-0.03079609014093876,0.5200405120849609,-0.316986083984375,-0.02734951302409172,0.5217170715332031,"{""0"": 36}"
